,Title,Company,Link,Job Description
33,"Core Engineering, SDLC software engineer, Associate, Singapore",GOLDMAN SACHS SERVICES (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/banking-finance/core-engineering-sdlc-software-engineer-associate-singapore-goldman-sachs-services-fee91b068b4a2159292a3c2e189daf3a?source=MCF&event=Search,"SKILLS AND EXPERIENCE WE ARE LOOKING FOR
5+ years of industry experience as a programming, software engineering, or similar job roles
General knowledge of multiple languages, and in-depth strong programming skills of at least one of: Java, GoLang, Erlang, Java, Python, C, C++
Strong software engineering fundamentals
Familiarity with continuous integration, deployment pipelines, monitoring solutions
Ability to use and familiarity with GitLab and CI/CD
Comfortable managing multiple stakeholders, driving consensus, and influencing outcomes, strong problem solving and analytical skills
Strong oral and written communication skills
PREFERRED QUALIFICATIONS
BSc / MSc / PhD in relevant field (Computer Science, Maths, Physics)
Experience with DevOps, SRE, infrastructure as code, and similar is helpful
General knowledge of Linux, Docker, etc, Kubernetes, Terraform, AWS
Experience with all stages in the lifecycle of developing and running large distributed systems
Knowledgeable about networking (TCP, UDP, ICMP, ARP, DNS, TLS, HTTP, SSH, etc)
Experience with AI and machine learning technologies.
WHAT’S IN IT FOR YOU
Work with advanced AI technologies to enhance coding efficiency, productivity and developer experience.
Be part of a forward-thinking team that values continuous improvement and ensures high-quality results.
Develop expertise in areas such as CI/CD, SDLC, containerization, GenAI, and cloud computing.
Stay updated with the latest technological advancements and best practices by engaging with industry leaders and vendors.
Tackle real engineering challenges, contribute to globally scalable platforms, supporting global operations and enhancing the developer experience.
"
34,ASUS AICS SG - Software Development Engineer,ASUS GLOBAL PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/asus-aics-sg-software-development-engineer-asus-global-9e032e3ce7cb0aa4bdbb52f3ace5817e?source=MCF&event=Search,"Responsibilities:
Design and implement on-prem and cloud-based systems for scalability and security.
Build and maintain high-availability backend services and reusable frameworks.
Develop and optimize data platform solutions.
Collaborate with cross-functional teams in agile sprints.
Continuously monitor and enhance system performance.
Qualifications:
4+ years of experience in backend development.
Strong interpersonal communication, problem-solving skills, and experience with peer code reviews to maintain code quality.
Experience in designing, building, and running microservices in a polyglot environment, leveraging technologies such as TypeScript, Node.js, Python, and FastAPI.
Proficiency in working with PostgreSQL and/or MongoDB.
Familiarity with cloud platforms like Azure, GCP, or AWS.
"
35,"Frontend Software Engineer (Payment), TikTok Live - Singapore",TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-tiktok-live-singapore-tiktok-5f2bde229816320158485b7fddf530f2?source=MCF&event=Search,"Qualifications
Minimum Qualification
- Solid front-end programming skills with experience in solving browser compatibility issues and optimizing front-end performance.
- Understand front-end engineering and component development, having a certain design skill set and familiar with at least one MV* framework.
- Having excellent service awareness, learning ability, communication and collaboration ability and English language skill to use in communication and collaboration.

Preferred Qualification
- Minimum 1 year relevant work experience from a large-scale internet business
- Good to have experience in multi-end (Native/PC/Server) development.
- Good to have experience in participating or leading large-scale projects and open source projects.
- Good to have experience in writing tech articles or tech blogs.
"
36,Frontend Software Engineer (Payment) - TikTok Live - Singapore,TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/frontend-software-engineer-tiktok-live-singapore-tiktok-9fc0e40c1a63d141a420154be288f4ad?source=MCF&event=Search,"Qualifications
Minimum Qualification
- Solid front-end programming skills with experience in solving browser compatibility issues and optimizing front-end performance.
- Understand front-end engineering and component development, having a certain design skill set and familiar with at least one MV* framework.
- Having excellent service awareness, learning ability, communication and collaboration ability and English language skill to use in communication and collaboration.

Preferred Qualification
- Minimum 3 years relevant work experience from a large-scale internet business
- Good to have experience in multi-end (Native/PC/Server) development.
- Good to have experience in participating or leading large-scale projects and open source projects.
- Good to have experience in writing tech articles or tech blogs.
"
37,Fullstack Engineer,THALES SOLUTIONS ASIA PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/fullstack-engineer-thales-solutions-asia-994aaa968cdfaa889290c87e90f330ad?source=MCF&event=Search,"KEY ACTIVITIES AND RESPONSIBILITIES
As a Software Engineer, you are accountable for:
Understand the functional aspects of the delivery and able to constructively discuss with the Product Owner.
Collaborate with UX/UI Designers to assess the feasibility of proposed designs and improve them.
Complete all fundamental tasks for the delivery of new functionality from Application Design, Implementation to the tests phase (unit tests, functional tests, and end to end tests).
To implement features by defining tests, develop features and associated automated tests. If appropriate, implement security tests and load tests.
Convert defined user stories and UI designs into working and tested code that perform well.
Write and review the necessary technical documentation.
Decide and implement team level code quality standards.
Ensure that delivered code follows code quality standards.
Apply software craftsmanship best practices (TDD, clean code, peer reviews).
Willing to work on projects & features that require both Backend and Frontend implementation.
Have a high degree of humility and embraces constructive feedback.
KEY KNOWLEDGE AND EXPERIENCE
To be successful in your role, you will have demonstrated and/or acquired the following knowledge and experience:
Minimum of 5 years software experience.
Have strong knowledge of one or more backend language such as Java, Kotlin, C#, Go, NodeJs, Python.
Have strong knowledge in one or more frontend libraries/frameworks such as React, Angular, Vue.
Strong knowledge in interacting with API implementations like REST.
Familiar with authentication mechanisms such as token-based authentication, as well as common authorization implementation such as RBAC.
Experience working with existing Design Systems like MUI, Materialize, Bootstrap and be able to carry forward that experience to in-house design systems.
Well-versed in SQL knowledge and experience working with relational databases.
Basic Database administration knowledge. (e.g. Postgres)
Knowledge of DevOps tools like GIT, Docker, Kubernetes and with a CICD tool such as Gitlab.
Experience in any of the cloud platforms like AZURE, GCP or AWS.
Familiarity with provisioning resource on Azure cloud is a plus.
Experience with or Knowledge of Agile software development methodologies.
Excellent communication, analytical and problem-solving skills.
Open to learn and adopt new tools and technologies.
"
38,iOS Software Engineer - Social - 2025 Start,TIKTOK PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/ios-software-engineer-social-2025-start-tiktok-167ce161551f9fb2c870a3591a940b66?source=MCF&event=Search,"Responsibilities:
1. Design, implement the new-user features of our mobile application.
2. Collaborate with the design and product teams to create a world-class mobile experience.
3. Analyse and optimize iOS applications for efficiency and performance.
4. Promote robust and maintainable code, clear documentation, and deliver high quality work on a tight schedule.

Qualifications
Minimum Qualifications
- Final year or recent graduate with a background in computer science, software engineering, information technology or related majors;
- Understand the entire life cycle of software development, and be familiar with requirement decomposition, system design, development testing, online operation and maintenance, etc.;

"
39,"#NEW# Senior Software Engineer (Java, React) - 12 months Contract",AMBITION GROUP SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/new-senior-software-engineer-12-months-contract-ambition-group-singapore-c747c1ce7f901efb45ed12861d498ddf?source=MCF&event=Search,"Responsibilities:
Develop robust back-end applications and services using Java for high-traffic systems, ensuring scalability and performance.
Collaborate with the front-end team to integrate user-facing elements with server-side logic, primarily using React.
Implement and maintain AWS-based solutions to support cloud infrastructure and services.
Utilize GraphQL to optimize APIs for various applications and data retrieval.
Design, develop, and maintain databases such as MongoDB and ElasticSearch, ensuring efficiency and scalability.
Contribute to the development and implementation of server-side logic using Go and Python for enhanced functionality.
Requirements:
5+ years proven experience in back-end development with a focus on Java, React, AWS, and GraphQL.
Strong proficiency in developing and managing databases, particularly MongoDB and ElasticSearch.
Proficiency in Go and Python for server-side logic and back-end functionalities.
Expertise in designing and implementing cloud-based solutions using AWS services.
Familiarity with front-end technologies and the ability to collaborate with front-end developers to ensure smooth integration.
Qualifications:
Bachelor's degree in Computer Science, Engineering, or a related field, or equivalent work experience.
Strong problem-solving skills and the ability to work in a collaborative team environment.
Excellent communication skills and the ability to explain complex technical concepts to non-technical stakeholders.
Additional Skills (Preferred but not required):
Knowledge of front-end technologies (HTML, CSS, JavaScript, React).
Experience in containerization and orchestration tools like Docker and Kubernetes.
Understanding of microservices architecture and RESTful API design.
"
40,Software Engineer (Various locations / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talentsis-83128c814319eabeae7912ef5f7b9ba5?source=MCF&event=Search,"Responsibilities:
Design and develop robust and scalable software - website/applications.
Develop and implement front-end and back-end design or function.
Write clean, efficient, and well-documented code.
Perform code reviews and provide constructive feedback.
Lead remote development team to deliver within scope on time.
Troubleshoot and resolve technical issues.
Stay up-to-date with the latest web development technologies and trends.
Requirements:
Min. 2-3 years of industry experience with 5 software development lifecycles.
Experienced as a Full Stack Developer with experience with MEAN/MERN stacks.
Proficiency in Java and C++
Strong proficiency in front-end technologies such as HTML, CSS, JavaScript (TypeScript) and frontend frameworks like React or Svelte.
Proficiency in programming languages like Golang and JavaScript.
Experience with database management systems, such as MySQL, PostgreSQL, or MongoDB.
Strong understanding of RESTful APIs, GraphQL, and web services.
"
41,Software Engineer (East / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-talentsis-4c9a1875c912b609c11e60c634dc93a3?source=MCF&event=Search,"Responsibilities:
Involvement in the entire software development life cycle including application development, implementation, testing, maintenance and documentation
Responsible for the development, installation, configuration and customization of Enterprise products and/or software services and cloud platforms
Designing and implementing scalable web services, applications and APIs
Perform troubleshooting & debugging software defects
Writing, testing clean and secure code to ensure responsiveness and efficiency
Staying abreast of latest technologies and work with R&D team on conceptualized design of prototype and Proof-Of-Concept (POC) into eventual solution for end user’s business cases
Requirements:
Min. Degree in Computing/ Computer Science/ Computer Engineering/ Info Systems / EEE or equivalent
Min. 1-2 years in a software development role, fresh graduates are also welcome to apply
Proficient in one or more back-end programming languages / frameworks such as .NET/.NET Core, Java Spring Boot or Python
Proficient in JavaScript and one or more front-end frameworks such as React or Angular
Proficient in Git
Knowledge and experience in Relational Databases (eg. MS SQL, Oracle, PostgreSQL)
Good understanding of Agile/Waterfall software delivery methodology
"
42,Senior Systems Engineer (Central / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-systems-engineer-talentsis-3e911d3947a429cbbc21a525f4374776?source=MCF&event=Search,"Responsibilities:
Provide technical consultancy advice on system configuration and overall design
Implement system infra expansion design and configure Monitor System Performance
Assist clients to verify, isolate and provide a temporary work around for the incident/problem logged.
Resolve system incident/ problem onsite.
Escalate unsolvable problems and service requests to the System or Software Engineer and report escalations to Operation/ Project Manager.
Generate relevant administrative records and reports.
Apply operating system updates, patches, and configuration changes.
Upkeep and maintain configuration of the system.
Contacting OEM/Vendor/subcontractor for technical support.
Requirements:
Min. Diploma / Degree in Computer Science, Computer Engineering or equivalent
Min. 4-7 years working experience as a System engineer in operations environment.
Good grasp of technical skills (System) and Infra system design.
Keen sense of urgency for service performance issues.
Able to handle demanding service response and recovery turnaround.
Able to manage daily support tasks to meet stringent SLA requirements.
Past working experience in Cloud environment is an advantage
ITIL certification will be an added advantage.
Good knowledge of Windows Server OS 2019, Active Directory/DNS, HYPER-V and/or VMWARE ESXi
"
43,Senior IT Systems Engineer (Central / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/senior-systems-engineer-talentsis-3cc5d8da9382478ab1267e6ae79d50a1?source=MCF&event=Search,"Responsibilities:
Provide technical consultancy advice on system configuration and overall design
Implement system infra expansion design and configure Monitor System Performance
Assist clients to verify, isolate and provide a temporary work around for the incident/problem logged.
Resolve system incident/ problem onsite.
Escalate unsolvable problems and service requests to the System or Software Engineer and report escalations to Operation/ Project Manager.
Generate relevant administrative records and reports.
Apply operating system updates, patches, and configuration changes.
Upkeep and maintain configuration of the system.
Contacting OEM/Vendor/subcontractor for technical support.
Requirements:
Min. Diploma / Degree in Computer Science, Computer Engineering or equivalent
Min. 4-7 years working experience as a System engineer in operations environment.
Good grasp of technical skills (System) and Infra system design.
Keen sense of urgency for service performance issues.
Able to handle demanding service response and recovery turnaround.
Able to manage daily support tasks to meet stringent SLA requirements.
Past working experience in Cloud environment is an advantage
ITIL certification will be an added advantage.
Good knowledge of Windows Server OS 2019, Active Directory/DNS, HYPER-V and/or VMWARE ESXi
"
44,Machine Learning Engineer (Data / Artificial Intelligence),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/machine-learning-engineer-talentsis-1d6734df7b095eef3e3e9d2cd8c3d27f?source=MCF&event=Search,"Job Responsibilities:
Design, develop, and optimize machine learning (ML) models and algorithms to address business challenges.
Collaborate with cross-functional teams to gather requirements, define objectives, and deploy models effectively.
Train and fine-tune ML models using appropriate algorithms, techniques, and tools.
Conduct evaluations to assess model performance, applying methods such as cross-validation, hyperparameter tuning, and ensemble learning.
Work closely with software engineers and DevOps teams to deploy models in production environments.
Implement APIs and integrate models into existing systems to enable real-time decision-making.
Monitor deployed models to ensure optimal performance, address anomalies, and resolve issues.
Continuously refine models and algorithms based on user feedback and performance metrics.
Perform exploratory data analysis to uncover trends and insights.
Use statistical methods and visualization techniques to communicate findings to stakeholders.
Stay updated on advancements in ML and artificial intelligence (AI).
Evaluate and recommend new tools, libraries, and methodologies to enhance workflows.
Job Requirements:
Min. Bachelor degree in Computer Science, Data Science, Machine Learning, or a related field.
At least 4 years of hands-on experience in designing, developing, and deploying ML models for real-world applications.
Familiarity with Large Language Models and Generative AI technologies is a plus.
Proficiency in Python and ML frameworks such as TensorFlow, PyTorch, or Scikit-learn.
Strong understanding of statistical analysis, probability theory, and hypothesis testing.
Experience with cloud-based ML tools (e.g., AWS, Azure, GCP) and distributed computing frameworks (e.g., Spark) is advantageous.
Excellent communication skills to articulate technical concepts to diverse stakeholders.
"
45,Machine Learning Engineer,TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/machine-learning-engineer-talentsis-9048a14f3a02ffc69ca0b4e93b7a6779?source=MCF&event=Search,"Job Responsibilities:
Design, develop, and optimize machine learning (ML) models and algorithms to address business challenges.
Collaborate with cross-functional teams to gather requirements, define objectives, and deploy models effectively.
Train and fine-tune ML models using appropriate algorithms, techniques, and tools.
Conduct evaluations to assess model performance, applying methods such as cross-validation, hyperparameter tuning, and ensemble learning.
Work closely with software engineers and DevOps teams to deploy models in production environments.
Implement APIs and integrate models into existing systems to enable real-time decision-making.
Monitor deployed models to ensure optimal performance, address anomalies, and resolve issues.
Continuously refine models and algorithms based on user feedback and performance metrics.
Perform exploratory data analysis to uncover trends and insights.
Use statistical methods and visualization techniques to communicate findings to stakeholders.
Stay updated on advancements in ML and artificial intelligence (AI).
Evaluate and recommend new tools, libraries, and methodologies to enhance workflows.
Job Requirements:
Min. Bachelor degree in Computer Science, Data Science, Machine Learning, or a related field.
At least 4 years of hands-on experience in designing, developing, and deploying ML models for real-world applications.
Familiarity with Large Language Models and Generative AI technologies is a plus.
Proficiency in Python and ML frameworks such as TensorFlow, PyTorch, or Scikit-learn.
Strong understanding of statistical analysis, probability theory, and hypothesis testing.
Experience with cloud-based ML tools (e.g., AWS, Azure, GCP) and distributed computing frameworks (e.g., Spark) is advantageous.
Excellent communication skills to articulate technical concepts to diverse stakeholders.
"
46,Data Ingestion Engineer (Machine Learning / Artificial Intelligence),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/data-ingestion-engineer-talentsis-ff569a9b1dc3d46b406fb1731f302826?source=MCF&event=Search,"Job Responsibilities:
Design, develop, and optimize machine learning (ML) models and algorithms to address business challenges.
Collaborate with cross-functional teams to gather requirements, define objectives, and deploy models effectively.
Train and fine-tune ML models using appropriate algorithms, techniques, and tools.
Conduct evaluations to assess model performance, applying methods such as cross-validation, hyperparameter tuning, and ensemble learning.
Work closely with software engineers and DevOps teams to deploy models in production environments.
Implement APIs and integrate models into existing systems to enable real-time decision-making.
Monitor deployed models to ensure optimal performance, address anomalies, and resolve issues.
Continuously refine models and algorithms based on user feedback and performance metrics.
Perform exploratory data analysis to uncover trends and insights.
Use statistical methods and visualization techniques to communicate findings to stakeholders.
Stay updated on advancements in ML and artificial intelligence (AI).
Evaluate and recommend new tools, libraries, and methodologies to enhance workflows.
Job Requirements:
Min. Bachelor degree in Computer Science, Data Science, Machine Learning, or a related field.
At least 4 years of hands-on experience in designing, developing, and deploying ML models for real-world applications.
Familiarity with Large Language Models and Generative AI technologies is a plus.
Proficiency in Python and ML frameworks such as TensorFlow, PyTorch, or Scikit-learn.
Strong understanding of statistical analysis, probability theory, and hypothesis testing.
Experience with cloud-based ML tools (e.g., AWS, Azure, GCP) and distributed computing frameworks (e.g., Spark) is advantageous.
Excellent communication skills to articulate technical concepts to diverse stakeholders.
"
47,Software Engineer (Multiple Locations / 5 days),TALENTSIS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-talentsis-d5ed0f8d04fc15b33f0ce705f7ea17a3?source=MCF&event=Search,"Responsibilities:
Design and develop robust and scalable software - website/applications for high-security government projects.
Develop and implement front-end and back-end design or function.
Write clean, efficient, and well-documented code.
Perform code reviews and provide constructive feedback.
Lead software development team to deliver within scope on time.
Troubleshoot and resolve technical issues.
Stay up-to-date with the latest web development technologies and trends.
Requirements:
Min. 5-7 years of industry experience with 5 software development lifecycles.
Experienced as a Full Stack Developer with experience with MEAN/MERN stacks.
Proficiency in Java and Python
Strong proficiency in front-end technologies such as HTML, CSS, JavaScript (TypeScript) and frontend frameworks like React or Svelte.
Proficiency in programming languages like Golang and JavaScript.
Experience with database management systems, such as MySQL, PostgreSQL, or MongoDB.
Strong understanding of RESTful APIs, GraphQL, and web services.
Experienced in leading a software development team with multiple stakeholders involved.
"
48,Senior Software Engineer,CLPS TECHNOLOGY (SINGAPORE) PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/senior-software-engineer-clps-technology-35079551b1df15cbd0cadcd766ceeeeb?source=MCF&event=Search,"Roles & Responsibilities
• Must have hands-on experience with TypeScript is required.
• Hands-on experience in performance tuning, debugging, and monitoring is necessary.
• Excellent knowledge of developing scalable and highly-available RESTful APIs using NodeJS technologies is essential.
• Practical experience with GraphQL is desired.
• Well-versed with CI/CD principles and actively involved in solving and troubleshooting issues in distributed services ecosystems.
• Understanding of containerization and experienced in Docker and Kubernetes.
• Exposed to API gateway integrations like 3Scale.
• Understanding of Single-Sign-on or token-based authentication (REST, JWT, OAuth).
• Possess expert knowledge of task/message queues including AWS, Microsoft Azure, Pushpin, and Kafka.
• Experience in following best coding, security, unit testing, and documentation standards and practices.
• Experience in Banking, Financial, and Fintech in an enterprise environment is preferred.
• Experience in Agile methodology.
• Responsible for ensuring the quality of technical and application architecture and design of systems across the organization.

"
49,Software Engineer,DELL GLOBAL B.V. (SINGAPORE BRANCH),https://www.mycareersfuture.gov.sg/job/information-technology/software-engineer-dell-global-bv-b056e08b7a5671cba9ae5d75bcace9a4?source=MCF&event=Search,"You will:
•Develop, test and integrate code for new or existing software while following source code revision control
•Troubleshoot software reliability and performance issues
•Review requirements, specifications and designs, developing and implementing tests for product quality and performance assurance
•Assist with the development and review of (technical) end user documentation
• Drive idea generation for new software products or for the next version of an existing product

Take the first step towards your dream career
Every Dell Technologies team member brings something unique to the table. Here’s what we are looking for with this role:

Essential Requirements
•Entry level position requiring basic knowledge of programming languages, operating systems and databases
•Debugging skills for simple programs using either written or verbal design specifications
•A good understanding of hardware and software interactions
•First-hand experience with server, storage, networking and client technologies
• Insight into software architectures and applications"
50,Software Engineer C++ / C# - WC01,WECRUIT PTE. LTD.,https://www.mycareersfuture.gov.sg/job/design/software-engineer-c-c-wc01-wecruit-98ad9b9f6037d7ee6e28ebe24887ccf9?source=MCF&event=Search,"Roles & Responsibilities
Develop next-generation machines using C++/C# platforms and integrate cross-application functions into the machines.
Engage in the complete software lifecycle, including requirements gathering, specifications, design, and development, using agile and object-oriented methodologies.
Add new features and functionalities to the existing codebase, while troubleshooting, performing root cause analysis, and fixing software bugs.
Collaborate with cross-functional teams, including process and mechanical engineers, for code testing and debugging.
Requirements
Bachelor’s or Master’s degree in computer engineering / computer science or related engineering discipline with significant software coursework.
3-8 years of experience on software development with high precision electro- mechanical components and system
Proficient in C++ / C# and Object Oriented Analysis & Object Oriented Design Methodologies
Experience in debug and bring-up of prototype HW/SW systems and their interaction with motion systems
"
51,SOFTWARE DEVELOPER,HK SOLUTIONS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/software-developer-hk-solutions-1f6f3c525306491f67c077637dbec4a4?source=MCF&event=Search,"Responsibilities:
Research, design, and develop computer and network software or specialized utility programs.
Analyze user needs and develop software solutions, applying principles and techniques of computer science, engineering, and mathematical analysis.
Design and develop the architecture for software systems using .NET, Angular, Vue.js, and web and mobile app technologies, ensuring they meet business requirements and are scalable, reliable, and maintainable.
Create technical specifications and diagrams that outline the structure and behavior of software systems.
Update software, enhance existing software capabilities, and develop and direct software testing and validation procedures.
Collaborate with developers, project managers, stakeholders, and computer hardware engineers to ensure systems are delivered on time, within budget, and meet specifications and performance requirements.
Review and approve technical designs and code changes, ensuring they adhere to established standards and best practices.
Conduct code reviews and mentor developers on best practices and techniques.
Evaluate and recommend software tools, frameworks, and technologies to enhance the development process.
Work with hardware engineers to integrate hardware and software systems and develop specifications and performance requirements.
What We’re Looking For:
Bachelor’s or Master’s degree in Computer Science, Information Technology, Programming & Systems Analysis or a related field.
Proven experience in software development and architecture design with .NET, Angular, and Vue.js.
Strong knowledge of software architecture principles, design patterns, and best practices.
Hands-on experience with software testing, validation, and system integration.
Excellent problem-solving skills and the ability to collaborate with cross-functional teams.
Experience with cloud computing platforms (AWS, Azure, Google Cloud) is a plus.
Relevant certifications, such as AWS Solutions Architect, are a plus.
"
52,"Senior Research Engineer / 3yrs contract (renewable) / $4,500-$11,900",RMA CONSULTANTS PTE LTD,https://www.mycareersfuture.gov.sg/job/design/senior-research-engineer-3yrs-contract-4500-11900-rma-consultants-58720d6688fff8fce4120ddf9e33067c?source=MCF&event=Search,"Key Responsibilities:
Design and implement robust full-stack applications using .NET C# and Angular.
Develop scalable microservice architectures, and implement containerization and container orchestration.
Integrate AI/ML capabilities within manufacturing software, ensuring seamless interoperability across the ecosystem.
Implement efficient data management and real-time processing solutions, adhering to best practices in cloud-native software design. Collaborate cross-functionally to align technical solutions with business requirements, evaluating and recommending appropriate technologies.
Contribute to the development of AI models and applications that enhance manufacturing operations and processes.
Requirements:
Bachelor/Master's degree in Computer Science, Software Engineering, or a related technical field.
5+ years of experience in software development, with a focus on backend .NET C# and frontend Angular.
Proficient in designing and implementing maintainable, scalable, and secure software architectures.
Hands-on experience with containerization (Docker) and container orchestration (Kubernetes).
Familiarity with cloud-native technologies and the ability to leverage cloud services from AWS or Azure.
Understanding of DevOps practices, including CI/CD pipelines. Knowledge of AI/ML frameworks and the ability to integrate AI capabilities within manufacturing software.
Familiarity with industrial IoT and edge computing in manufacturing environments.
Strong problem-solving skills and the ability to learn new technologies quickly.
Excellent communication and collaboration skills to work effectively in a multi disciplinary team.
"
53,IT Analyst Programmer / Software Engineer / - RPG on IBM AS400 / System,RECRUITFLASH PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/analyst-programmer-software-engineer-rpg-ibm-as400-system-recruitflash-0e44be772e3ca8b0f7700513d29fd4b9?source=MCF&event=Search,"Requirements
Degree/Diploma in Computer Studies or its equivalent
At least 2-3 years programming experience in RPG on IBM AS400/System i environment
Experience in Lotus Notes, Java and other Web Application development tools will be an added advantage"
54,"Software Engineer (Exp Visual C#, Automation, Semicon, UBI)",PEOPLE PROFILERS PTE. LTD.,https://www.mycareersfuture.gov.sg/job/engineering/software-engineer-people-profilers-c843d4b32a7ac85b9278ce757e660aff?source=MCF&event=Search,"Responsibilities:
Lead/ involve in development and maintenance of the software for automated equipment
Direct/involve in the coding, testing and debugging of the developed software
Lead team to maintain, review and improve legacy code
Help to define architecture of new design and write technical document to address the design
Liaise with customer on requirements and create specifications
Requirements:
Degree in Electrical, Electronics Engineering, Computer Science or any related discipline
Min 3 to 5 years of experience in the automation and machinery industry
Proficient in Visual C# programming with WinForm application.
Relevant experience in building web applications in JavaScript, HTML and CSS will be an added advantage
Familiar with Modbus, EtherCAT fieldbus protocols, Winsock and serial communications.
Familiar with PLC programming (e.g. Omron) and various motion systems (e.g. IAI, ADLink)
Willing to learn and adapt to new technology quickly
Ability to work independently and in a team with a can-do working attitude
Must be able and willing to travel and work at customer sites (locally or oversea adhoc basis), if needed
"
55,DevOps Engineer,CAPGEMINI SINGAPORE PTE. LTD.,https://www.mycareersfuture.gov.sg/job/consulting/devops-engineer-capgemini-singapore-2f58ffd22b7c3ecc7958b72368e77c4f?source=MCF&event=Search,"Job Description
Work in a scrum team with other agile developers in Singapore and different countries
Design and develop client tools, server infrastructure, and automation solutions as part of workflow in continuous integration and continuous delivery for embedded product development
Build and maintain software tools and infrastructure that support embedded development workflows, including test automation platforms, deployment systems, and developer utilities
Implement generative AI solutions to improve developer productivity and code quality
Actively contribute and lead requirements definition, workload estimation, software design, development, testing and integration of software tools and server infrastructure
Contribute and drive continuous product and development methodology improvements
Choose the technologies and methodology for the implementation of each component and interface in the software solution

Job Requirements
Proficient in Groovy, Python, Bash Scripting
Strong knowledge of development tools and technologies including:
Client application development (desktop and web interfaces)
Linux systems and administration
Container technologies (Docker, Kubernetes)
Infrastructure as code (Ansible, Terraform, or similar)
Software performance optimization and testing
Experience implementing and working with generative AI tools and frameworks to enhance software development workflows
Knowledge in C (C++ is considered a plus), Java, C#, Visual Basic
Knowledge in Git/Mercurial, Nexus/Artifactory, Maven, Jira, Jenkins Architecture
Knowledge of architectural styles and design patterns
Experience with software system-level integration
Experience in Product Lifecycle (design and documentation, development, validation refactoring, deployment and maintenance)
Team player with good communications and collaborative skills
Enjoy thinking out of the box and being creative
Additional Valuable Skills o Embedded software development
Javacard
Testing methodologies
Advanced continuous integration & delivery tool suites
Static Code Analysis tools
Cloud platform experience (AWS, Azure, GCP)
DevOps practices and tools

Education
Degree in Electrical/Electronics/Computer/Software Engineering, or related fields

Experience
5 years of practical experience with software design projects, including development of client tools and/or infrastructure solutions
Familiar with IT Service processes, guidelines and best practices
"
56,Full Stack Software Engineer,FLINTEX CONSULTING PTE. LTD.,https://www.mycareersfuture.gov.sg/job/information-technology/full-stack-software-engineer-flintex-consulting-6ce1d64189cd3d0c0c27f5597b50badb?source=MCF&event=Search,"Job Responsibilities:

Gather software requirements and design solutions for modules and small software systems
Develop and support software including applications, database integration, interfaces and new functionality enhancements.
Coordinate cross-functionally to ensure projects meet business objectives and compliance standards.
Write both internal and external technical documentation
Deploy, install, and configure hardware and software systems
Work with team members in customer support, field test and deployment
Perform bug fixing and improvement of current application framework

Requirements:
Bachelor Degree in Computer Science & Engineering, Electrical & Electronics Engineering, Information Technology, or equivalent
2-4 years of in-depth knowledge and experience in front-end and backend development
Ability to solve complex development problems and produce high-quality code while pushing the technical boundaries.
Proficiency in one or more programming languages; we use Python, Javascript and TypeScript.
Knowledge in frontend frameworks such as React, Next.JS, FastAPI, REST API or similar frameworks.
Experience with Docker/Kubernetes, DevOps, CI/CD, Github
Experience with Linux operating system (Ubuntu, RHEL, etc.)
Experience working on Agile projects and Agile methodology in general
Excellent problem solving, communications, and teamwork skills

"
